Date, Open, High, Low, Close, Adj, Volume 
11/19/2021,987,987,971,975,975,186160
11/18/2021,976.5,987.5,970.5,975,975,264690
11/17/2021,990,991.5,975,975,975,207130
11/16/2021,990,998,982.5,998,998,198880
11/15/2021,989.5,996,975,990,990,103840
12/11/2021,975,995,975,990,990,170110
11/11/2021,975,981,975,979,979,216660
11/10/2021,990,993,971,975,975,264070
11/09/2021,980,991,980,984,984,309280
11/08/2021,998,998,973,974.5,974.5,483200
11/05/2021,995,1001,980,998,998,119190
11/04/2021,1002,1002,976,990,990,227140
11/03/2021,990,1005,990,998,998,114905
11/02/2021,976,1005,975,1005,1005,312910
10/29/2021,993,993,961,965,965,520640
10/28/2021,993,1007,980,992,992,155840
10/27/2021,1024,1025,987.5,990,990,347750
10/26/2021,1021,1028,1000,1028,1028,124875
10/25/2021,1021,1030,1010,1021,1021,131175
10/22/2021,1032,1041,1020,1034,1034,196005
10/21/2021,1025,1038,1015,1038,1038,205110
10/20/2021,996,1025,996,1025,1025,201240
10/19/2021,980,1009,977.5,1008,1008,255980
10/18/2021,980,980,960,970,970,335180
10/15/2021,1000,1015,990,991,991,137025
10/14/2021,992,1010,986,1000,1000,215810
10/13/2021,1000,1015,968,975,975,246210
10/12/2021,986.5,1005,986.5,999,999,83720
10/11/2021,968,1018,968,1005,1005,241280
10/08/2021,980,998,965,966,966,233370
10/07/2021,987,997,975,980,980,169775
